MCM_DECISION | long_score=-0.8924 short_score=-1.2552 memory_center=-2.1423 memory_strength=54 self_state=stressed attractor=defense felt_bearing_score=0.6154 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-2.7576 short_score=1.0394 memory_center=-2.2882 memory_strength=31 self_state=stressed attractor=defense felt_bearing_score=0.6119 felt_profile_label=mixed_unclear best_score=1.0394 reject_reason=-
MCM_DECISION | long_score=-2.1204 short_score=0.8251 memory_center=-1.2552 memory_strength=24 self_state=stressed attractor=defense felt_bearing_score=0.6103 felt_profile_label=mixed_unclear best_score=0.8251 reject_reason=-
MCM_DECISION | long_score=-2.0170 short_score=0.7257 memory_center=0.1193 memory_strength=31 self_state=stressed attractor=cooperate felt_bearing_score=0.6017 felt_profile_label=mixed_unclear best_score=0.7257 reject_reason=-
MCM_DECISION | long_score=-2.6300 short_score=1.0092 memory_center=1.6650 memory_strength=25 self_state=stressed attractor=explore felt_bearing_score=0.6022 felt_profile_label=mixed_unclear best_score=1.0092 reject_reason=-
MCM_DECISION | long_score=0.1307 short_score=-1.3149 memory_center=-0.8457 memory_strength=18 self_state=stressed attractor=defense felt_bearing_score=0.6065 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=stressed_block
MCM_DECISION | long_score=-0.2996 short_score=-1.0688 memory_center=-0.8990 memory_strength=26 self_state=stressed attractor=defense felt_bearing_score=0.6180 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-1.0643 short_score=-0.5149 memory_center=-0.6283 memory_strength=32 self_state=stressed attractor=defense felt_bearing_score=0.6155 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=0.2700 short_score=-1.6671 memory_center=-0.8611 memory_strength=19 self_state=stressed attractor=defense felt_bearing_score=0.6271 felt_profile_label=mixed_unclear best_score=0.2700 reject_reason=-
MCM_DECISION | long_score=-0.3311 short_score=-1.1121 memory_center=2.3274 memory_strength=28 self_state=stressed attractor=explore felt_bearing_score=0.3775 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=stressed_block
MCM_DECISION | long_score=0.5728 short_score=-2.2782 memory_center=1.4486 memory_strength=34 self_state=stressed attractor=neutral felt_bearing_score=0.5820 felt_profile_label=mixed_unclear best_score=0.5728 reject_reason=-
MCM_DECISION | long_score=-0.8224 short_score=-0.4722 memory_center=-0.5992 memory_strength=20 self_state=stressed attractor=defense felt_bearing_score=0.6152 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-0.3274 short_score=-0.8349 memory_center=2.3796 memory_strength=15 self_state=stressed attractor=explore felt_bearing_score=0.6077 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-0.3200 short_score=-1.0982 memory_center=0.4485 memory_strength=31 self_state=stressed attractor=cooperate felt_bearing_score=0.6085 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-2.9970 short_score=0.9475 memory_center=-2.4881 memory_strength=40 self_state=stressed attractor=defense felt_bearing_score=0.6171 felt_profile_label=mixed_unclear best_score=0.9475 reject_reason=-
MCM_DECISION | long_score=-0.1208 short_score=-1.1260 memory_center=-2.4511 memory_strength=33 self_state=stressed attractor=defense felt_bearing_score=0.6426 felt_profile_label=recovering best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=1.0471 short_score=-2.4682 memory_center=0.9610 memory_strength=26 self_state=stressed attractor=cooperate felt_bearing_score=0.5951 felt_profile_label=mixed_unclear best_score=1.0471 reject_reason=-
MCM_DECISION | long_score=-1.5193 short_score=0.3691 memory_center=-0.2303 memory_strength=25 self_state=stressed attractor=cooperate felt_bearing_score=0.5949 felt_profile_label=mixed_unclear best_score=0.3691 reject_reason=-
MCM_DECISION | long_score=1.4477 short_score=-2.9980 memory_center=1.0513 memory_strength=22 self_state=stressed attractor=cooperate felt_bearing_score=0.5968 felt_profile_label=mixed_unclear best_score=1.4477 reject_reason=-
MCM_DECISION | long_score=-0.9635 short_score=-0.4226 memory_center=1.2306 memory_strength=25 self_state=stressed attractor=neutral felt_bearing_score=0.5803 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=0.6868 short_score=-1.7093 memory_center=-2.3475 memory_strength=28 self_state=stressed attractor=defense felt_bearing_score=0.6018 felt_profile_label=recovering best_score=0.6868 reject_reason=-
MCM_DECISION | long_score=1.1035 short_score=-2.5645 memory_center=1.3596 memory_strength=27 self_state=stressed attractor=neutral felt_bearing_score=0.6024 felt_profile_label=mixed_unclear best_score=1.1035 reject_reason=-
MCM_DECISION | long_score=-1.0605 short_score=-0.0081 memory_center=0.7716 memory_strength=25 self_state=stressed attractor=cooperate felt_bearing_score=0.4078 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=0.0442 short_score=-1.0399 memory_center=0.9575 memory_strength=18 self_state=stressed attractor=cooperate felt_bearing_score=0.3755 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-1.5271 short_score=0.3438 memory_center=-1.3316 memory_strength=22 self_state=stressed attractor=defense felt_bearing_score=0.6014 felt_profile_label=mixed_unclear best_score=0.3438 reject_reason=-
MCM_DECISION | long_score=-2.1976 short_score=0.4185 memory_center=-2.4134 memory_strength=33 self_state=stressed attractor=defense felt_bearing_score=0.5815 felt_profile_label=mixed_unclear best_score=0.4185 reject_reason=-
MCM_DECISION | long_score=-1.5446 short_score=-0.6353 memory_center=-2.3593 memory_strength=43 self_state=stressed attractor=defense felt_bearing_score=0.5822 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=0.5647 short_score=-2.2254 memory_center=-2.4514 memory_strength=48 self_state=stressed attractor=defense felt_bearing_score=0.3873 felt_profile_label=mixed_unclear best_score=0.5647 reject_reason=-
MCM_DECISION | long_score=0.6487 short_score=-1.8497 memory_center=0.0313 memory_strength=21 self_state=stressed attractor=cooperate felt_bearing_score=0.5983 felt_profile_label=mixed_unclear best_score=0.6487 reject_reason=-
MCM_DECISION | long_score=-1.5589 short_score=0.6273 memory_center=0.4467 memory_strength=20 self_state=stressed attractor=cooperate felt_bearing_score=0.5716 felt_profile_label=mixed_unclear best_score=0.6273 reject_reason=-
MCM_DECISION | long_score=0.1720 short_score=-1.6089 memory_center=0.5919 memory_strength=32 self_state=stressed attractor=cooperate felt_bearing_score=0.5969 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-1.4772 short_score=0.1175 memory_center=0.1336 memory_strength=23 self_state=stressed attractor=cooperate felt_bearing_score=0.5939 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-2.4709 short_score=0.5956 memory_center=-2.2166 memory_strength=30 self_state=stressed attractor=defense felt_bearing_score=0.5804 felt_profile_label=mixed_unclear best_score=0.5956 reject_reason=-
MCM_DECISION | long_score=-0.3240 short_score=-1.2976 memory_center=2.3012 memory_strength=40 self_state=stressed attractor=explore felt_bearing_score=0.3769 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=1.0744 short_score=-2.9448 memory_center=1.1178 memory_strength=39 self_state=stressed attractor=cooperate felt_bearing_score=0.6025 felt_profile_label=mixed_unclear best_score=1.0744 reject_reason=-
MCM_DECISION | long_score=-2.0747 short_score=0.3834 memory_center=2.3317 memory_strength=40 self_state=stressed attractor=explore felt_bearing_score=0.6237 felt_profile_label=mixed_unclear best_score=0.3834 reject_reason=-
MCM_DECISION | long_score=-1.2235 short_score=-0.3657 memory_center=-2.4088 memory_strength=24 self_state=stressed attractor=defense felt_bearing_score=0.5936 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=0.7092 short_score=-2.2618 memory_center=-0.7183 memory_strength=34 self_state=stressed attractor=defense felt_bearing_score=0.6084 felt_profile_label=mixed_unclear best_score=0.7092 reject_reason=-
MCM_DECISION | long_score=0.8508 short_score=-2.2296 memory_center=-0.8089 memory_strength=26 self_state=stressed attractor=defense felt_bearing_score=0.5998 felt_profile_label=mixed_unclear best_score=0.8508 reject_reason=-
MCM_DECISION | long_score=-1.9509 short_score=0.5530 memory_center=0.1195 memory_strength=26 self_state=stressed attractor=cooperate felt_bearing_score=0.6007 felt_profile_label=mixed_unclear best_score=0.5530 reject_reason=-
MCM_DECISION | long_score=-3.1495 short_score=1.3548 memory_center=-1.9759 memory_strength=30 self_state=stressed attractor=defense felt_bearing_score=0.6031 felt_profile_label=mixed_unclear best_score=1.3548 reject_reason=-
MCM_DECISION | long_score=-2.7403 short_score=1.4052 memory_center=-2.4465 memory_strength=20 self_state=stressed attractor=defense felt_bearing_score=0.5911 felt_profile_label=mixed_unclear best_score=1.4052 reject_reason=-
MCM_DECISION | long_score=0.4963 short_score=-1.7613 memory_center=0.8500 memory_strength=23 self_state=stressed attractor=cooperate felt_bearing_score=0.5992 felt_profile_label=mixed_unclear best_score=0.4963 reject_reason=-
MCM_DECISION | long_score=-2.7138 short_score=1.0698 memory_center=-1.3486 memory_strength=26 self_state=stressed attractor=defense felt_bearing_score=0.3686 felt_profile_label=mixed_unclear best_score=1.0698 reject_reason=-
MCM_DECISION | long_score=-2.0082 short_score=0.0816 memory_center=-1.1848 memory_strength=36 self_state=stressed attractor=defense felt_bearing_score=0.5929 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=0.8240 short_score=-2.6051 memory_center=-1.3366 memory_strength=31 self_state=stressed attractor=defense felt_bearing_score=0.6061 felt_profile_label=mixed_unclear best_score=0.8240 reject_reason=-
MCM_DECISION | long_score=-0.1882 short_score=-1.6700 memory_center=1.0867 memory_strength=35 self_state=stressed attractor=cooperate felt_bearing_score=0.5928 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-0.3770 short_score=-1.5017 memory_center=2.3412 memory_strength=45 self_state=stressed attractor=explore felt_bearing_score=0.3763 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=stressed_block
MCM_DECISION | long_score=0.8646 short_score=-2.0364 memory_center=0.5113 memory_strength=22 self_state=stressed attractor=cooperate felt_bearing_score=0.3757 felt_profile_label=mixed_unclear best_score=0.8646 reject_reason=-
MCM_DECISION | long_score=-2.9592 short_score=1.1494 memory_center=-2.4866 memory_strength=32 self_state=stressed attractor=defense felt_bearing_score=0.5920 felt_profile_label=mixed_unclear best_score=1.1494 reject_reason=-
MCM_DECISION | long_score=-0.2921 short_score=-1.6055 memory_center=-2.1561 memory_strength=49 self_state=stressed attractor=defense felt_bearing_score=0.6181 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-2.1656 short_score=-0.0539 memory_center=-2.0285 memory_strength=48 self_state=stressed attractor=defense felt_bearing_score=0.6219 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=0.0505 short_score=-1.6220 memory_center=-2.2662 memory_strength=27 self_state=stressed attractor=defense felt_bearing_score=0.6111 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-0.0189 short_score=-1.4904 memory_center=0.2867 memory_strength=34 self_state=stressed attractor=cooperate felt_bearing_score=0.3975 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=0.2399 short_score=-1.5859 memory_center=1.6091 memory_strength=25 self_state=stressed attractor=explore felt_bearing_score=0.5998 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=stressed_block
MCM_DECISION | long_score=0.2684 short_score=-1.6807 memory_center=2.3031 memory_strength=25 self_state=stressed attractor=explore felt_bearing_score=0.6089 felt_profile_label=mixed_unclear best_score=0.2684 reject_reason=-
MCM_DECISION | long_score=-0.2164 short_score=-1.1083 memory_center=2.1069 memory_strength=32 self_state=stressed attractor=explore felt_bearing_score=0.3849 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=stressed_block
MCM_DECISION | long_score=-1.8706 short_score=0.4081 memory_center=1.1321 memory_strength=19 self_state=stressed attractor=cooperate felt_bearing_score=0.5891 felt_profile_label=mixed_unclear best_score=0.4081 reject_reason=-
MCM_DECISION | long_score=1.3063 short_score=-2.4831 memory_center=1.2510 memory_strength=20 self_state=stressed attractor=neutral felt_bearing_score=0.5876 felt_profile_label=mixed_unclear best_score=1.3063 reject_reason=-
MCM_DECISION | long_score=-0.1138 short_score=-1.3962 memory_center=0.1677 memory_strength=39 self_state=stressed attractor=cooperate felt_bearing_score=0.6150 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
