timestamp;runtime_tick;sequence;phase;reason;decision;field_label;field_focus;field_clarity;field_stability;field_fragmentation;field_strain;field_pressure;field_support;field_observation_need;field_replan_pressure;field_action_support;action_clearance;action_inhibition;regulated_courage;decision_strength;state_maturity;decision_readiness;processing_load;processing_tension;felt_pressure;felt_stability;thought_pressure;thought_support;context_cluster_id;inner_context_cluster_id
1767394500000000;64;61;observe;zero_point_regulation;SHORT;fragmented_perception_field;0.0000;0.1251;0.0000;0.0000;0.0000;0.3111;0.0000;0.4662;0.5023;0.0000;0.6191;0.3507;0.6240;0.2830;0.7165;0.6779;0.7360;0.5676;0.2878;1.0000;0.1488;1.0000;ctx_13;inner_ctx_6
1767394800000000;65;62;observe;zero_point_regulation;WAIT;quiet_field;0.0000;0.1000;0.0000;0.0000;0.0000;0.0000;0.0000;0.1474;0.1719;0.0244;0.6998;0.2467;0.6690;0.1222;0.7519;0.7399;0.5399;0.4435;0.2328;1.0000;0.0984;1.0000;ctx_25;inner_ctx_3
1767395100000000;66;63;hold;maturity_block;SHORT;active_perception_field;0.0000;0.2506;0.0000;0.0000;0.0000;0.3197;0.3338;0.2597;0.2372;0.1929;0.7033;0.2921;0.6833;0.8801;0.7697;0.7194;0.7338;0.5799;0.3026;1.0000;0.1104;1.0000;ctx_9;inner_ctx_6
1767395400000000;67;64;observe;structure_development_observe;LONG;quiet_field;0.0000;0.1000;0.0000;0.0000;0.0000;0.0000;0.0000;0.1448;0.1691;0.0383;0.7234;0.2143;0.6837;0.2136;0.7685;0.7625;0.5267;0.3979;0.2503;1.0000;0.0588;1.0000;ctx_2;inner_ctx_1
1767395700000000;68;65;hold;context_cluster_negative;WAIT;quiet_field;0.0000;0.1000;0.0000;0.0000;0.0000;0.0000;0.0000;0.1505;0.1734;0.0316;0.7145;0.2286;0.6784;0.3717;0.7551;0.7603;0.4196;0.3100;0.2712;1.0000;0.1017;1.0000;ctx_3;inner_ctx_6
1767396000000000;69;66;observe;zero_point_regulation;SHORT;active_perception_field;0.0000;0.2611;0.0000;0.0000;0.0000;0.2980;0.3457;0.2465;0.2220;0.1967;0.6422;0.3409;0.6397;0.9681;0.6710;0.6436;0.7352;0.5913;0.3976;1.0000;0.1501;1.0000;ctx_9;inner_ctx_6
1767396300000000;70;67;hold;stressed_block;WAIT;quiet_field;0.0000;0.1000;0.0000;0.0000;0.0000;0.0000;0.0000;0.1649;0.1825;0.0107;0.6119;0.3179;0.6004;-0.2630;0.6714;0.6681;0.6185;0.5528;0.2414;1.0000;0.1097;1.0000;-;inner_ctx_7
1767396600000000;71;68;hold;maturity_block;SHORT;fragmented_perception_field;0.0000;0.1277;0.0000;0.0000;0.0000;0.3077;0.0041;0.4686;0.5027;0.0000;0.6056;0.3652;0.5872;0.7405;0.7173;0.6765;0.7290;0.5492;0.2478;1.0000;0.1595;1.0000;ctx_54;inner_ctx_6
1767396900000000;72;69;hold;stressed_block;WAIT;quiet_field;0.0000;0.1000;0.0000;0.0000;0.0000;0.0000;0.0000;0.1698;0.1837;0.0096;0.6097;0.3471;0.6001;-0.6709;0.6547;0.6291;0.6258;0.4706;0.1925;1.0000;0.1001;1.0000;-;inner_ctx_3
1767397200000000;73;70;observe;zero_point_regulation;SHORT;fragmented_perception_field;0.0000;0.1265;0.0000;0.0000;0.0000;0.3004;0.0000;0.4604;0.4960;0.0015;0.6368;0.3438;0.6191;0.2900;0.7580;0.7066;0.7128;0.5646;0.2786;1.0000;0.1484;1.0000;ctx_17;inner_ctx_6
1767397500000000;74;71;observe;zero_point_regulation;SHORT;active_perception_field;0.0000;0.2413;0.0000;0.0000;0.0000;0.3297;0.3181;0.2761;0.2490;0.1688;0.6557;0.3385;0.6432;0.6369;0.7284;0.6802;0.8205;0.6635;0.3284;1.0000;0.1129;1.0000;ctx_9;inner_ctx_3
1767397800000000;75;72;hold;maturity_block;SHORT;quiet_field;0.0000;0.1000;0.0000;0.0000;0.0000;0.0000;0.0000;0.1530;0.1737;0.0232;0.6373;0.2820;0.6293;0.2038;0.6848;0.6703;0.7579;0.6113;0.2631;1.0000;0.0600;1.0000;ctx_44;inner_ctx_1
