MCM_DECISION | long_score=-1.2274 short_score=0.4384 memory_center=1.2588 memory_strength=19 self_state=stressed attractor=neutral felt_bearing_score=0.3738 felt_profile_label=recovering best_score=0.4384 reject_reason=-
MCM_DECISION | long_score=-0.0432 short_score=-1.6601 memory_center=-1.9253 memory_strength=30 self_state=stressed attractor=defense felt_bearing_score=0.6045 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-0.4017 short_score=-1.2909 memory_center=-1.4867 memory_strength=33 self_state=stressed attractor=defense felt_bearing_score=0.5991 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-2.3747 short_score=0.2079 memory_center=-2.4414 memory_strength=49 self_state=stressed attractor=defense felt_bearing_score=0.6065 felt_profile_label=mixed_unclear best_score=0.2079 reject_reason=-
MCM_DECISION | long_score=-3.3115 short_score=1.0001 memory_center=-2.1644 memory_strength=49 self_state=stressed attractor=defense felt_bearing_score=0.3844 felt_profile_label=mixed_unclear best_score=1.0001 reject_reason=-
MCM_DECISION | long_score=-0.1382 short_score=-1.2534 memory_center=-2.3077 memory_strength=37 self_state=stressed attractor=defense felt_bearing_score=0.6240 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=0.2973 short_score=-1.9052 memory_center=-1.2294 memory_strength=28 self_state=stressed attractor=defense felt_bearing_score=0.6001 felt_profile_label=mixed_unclear best_score=0.2973 reject_reason=-
MCM_DECISION | long_score=0.7459 short_score=-2.6168 memory_center=0.4044 memory_strength=43 self_state=stressed attractor=cooperate felt_bearing_score=0.5958 felt_profile_label=mixed_unclear best_score=0.7459 reject_reason=-
MCM_DECISION | long_score=0.3158 short_score=-1.7451 memory_center=0.4927 memory_strength=32 self_state=stressed attractor=cooperate felt_bearing_score=0.3595 felt_profile_label=mixed_unclear best_score=0.3158 reject_reason=-
MCM_DECISION | long_score=-1.1497 short_score=0.1601 memory_center=-0.0552 memory_strength=21 self_state=stressed attractor=cooperate felt_bearing_score=0.5985 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=0.1995 short_score=-1.5379 memory_center=0.0132 memory_strength=32 self_state=stressed attractor=cooperate felt_bearing_score=0.6113 felt_profile_label=mixed_unclear best_score=0.1995 reject_reason=-
MCM_DECISION | long_score=1.1100 short_score=-2.7304 memory_center=2.1635 memory_strength=29 self_state=stressed attractor=explore felt_bearing_score=0.6289 felt_profile_label=mixed_unclear best_score=1.1100 reject_reason=-
MCM_DECISION | long_score=1.4117 short_score=-2.7213 memory_center=1.5575 memory_strength=23 self_state=stressed attractor=neutral felt_bearing_score=0.3799 felt_profile_label=mixed_unclear best_score=1.4117 reject_reason=-
MCM_DECISION | long_score=-0.7274 short_score=-0.3104 memory_center=1.2943 memory_strength=24 self_state=stressed attractor=neutral felt_bearing_score=0.6081 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=0.6271 short_score=-2.1145 memory_center=-1.2450 memory_strength=20 self_state=stressed attractor=defense felt_bearing_score=0.6012 felt_profile_label=mixed_unclear best_score=0.6271 reject_reason=-
MCM_DECISION | long_score=0.5521 short_score=-1.6703 memory_center=0.5007 memory_strength=28 self_state=stressed attractor=cooperate felt_bearing_score=0.5983 felt_profile_label=mixed_unclear best_score=0.5521 reject_reason=-
MCM_DECISION | long_score=-2.3105 short_score=0.6738 memory_center=-2.4431 memory_strength=25 self_state=stressed attractor=defense felt_bearing_score=0.5999 felt_profile_label=mixed_unclear best_score=0.6738 reject_reason=-
MCM_DECISION | long_score=-0.6467 short_score=-1.2671 memory_center=-2.4389 memory_strength=54 self_state=stressed attractor=defense felt_bearing_score=0.6141 felt_profile_label=recovering best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=0.6307 short_score=-1.7868 memory_center=0.7791 memory_strength=20 self_state=stressed attractor=cooperate felt_bearing_score=0.5968 felt_profile_label=mixed_unclear best_score=0.6307 reject_reason=-
MCM_DECISION | long_score=0.1023 short_score=-1.2965 memory_center=2.0094 memory_strength=26 self_state=stressed attractor=explore felt_bearing_score=0.6010 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=0.0492 short_score=-1.4204 memory_center=0.9270 memory_strength=26 self_state=stressed attractor=cooperate felt_bearing_score=0.5943 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-1.1599 short_score=0.1392 memory_center=1.1989 memory_strength=33 self_state=stressed attractor=cooperate felt_bearing_score=0.5960 felt_profile_label=recovering best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-2.1367 short_score=0.5688 memory_center=-2.3282 memory_strength=25 self_state=stressed attractor=defense felt_bearing_score=0.5974 felt_profile_label=mixed_unclear best_score=0.5688 reject_reason=-
MCM_DECISION | long_score=0.7762 short_score=-2.2440 memory_center=1.1477 memory_strength=33 self_state=stressed attractor=cooperate felt_bearing_score=0.6118 felt_profile_label=mixed_unclear best_score=0.7762 reject_reason=-
MCM_DECISION | long_score=0.4787 short_score=-1.6976 memory_center=2.3134 memory_strength=26 self_state=stressed attractor=explore felt_bearing_score=0.5956 felt_profile_label=recovering best_score=0.4787 reject_reason=-
