MCM_DECISION | long_score=2.0144 short_score=-2.8211 memory_center=1.7590 memory_strength=22 self_state=stressed attractor=explore felt_bearing_score=0.3260 felt_profile_label=mixed_unclear best_score=2.0144 reject_reason=-
MCM_DECISION | long_score=-0.7135 short_score=-0.3421 memory_center=-0.1478 memory_strength=29 self_state=stressed attractor=cooperate felt_bearing_score=0.3324 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-1.1196 short_score=-0.3282 memory_center=-1.9533 memory_strength=51 self_state=active attractor=defense felt_bearing_score=0.3192 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=defense_block
MCM_DECISION | long_score=-2.3288 short_score=0.3327 memory_center=-2.0811 memory_strength=52 self_state=stressed attractor=defense felt_bearing_score=0.3199 felt_profile_label=mixed_unclear best_score=0.3327 reject_reason=-
MCM_DECISION | long_score=-1.2209 short_score=0.1391 memory_center=2.0490 memory_strength=40 self_state=stressed attractor=explore felt_bearing_score=0.3067 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-0.4069 short_score=-0.7361 memory_center=-1.2249 memory_strength=59 self_state=active attractor=analysis felt_bearing_score=0.3213 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-0.2038 short_score=-0.5823 memory_center=-0.1741 memory_strength=32 self_state=stable attractor=cooperate felt_bearing_score=0.3355 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-2.8969 short_score=1.6394 memory_center=-1.2575 memory_strength=34 self_state=stressed attractor=defense felt_bearing_score=0.3193 felt_profile_label=mixed_unclear best_score=1.6394 reject_reason=-
MCM_DECISION | long_score=-2.1850 short_score=1.3256 memory_center=-2.1966 memory_strength=26 self_state=stressed attractor=defense felt_bearing_score=0.3328 felt_profile_label=mixed_unclear best_score=1.3256 reject_reason=-
MCM_DECISION | long_score=-2.4578 short_score=1.4517 memory_center=0.0735 memory_strength=28 self_state=stressed attractor=cooperate felt_bearing_score=0.3333 felt_profile_label=mixed_unclear best_score=1.4517 reject_reason=-
MCM_DECISION | long_score=0.2138 short_score=-0.8252 memory_center=0.3177 memory_strength=36 self_state=stable attractor=cooperate felt_bearing_score=0.3234 felt_profile_label=mixed_unclear best_score=0.2138 reject_reason=-
MCM_DECISION | long_score=-1.8052 short_score=0.3483 memory_center=-1.3571 memory_strength=42 self_state=active attractor=analysis felt_bearing_score=0.3385 felt_profile_label=mixed_unclear best_score=0.3483 reject_reason=-
MCM_DECISION | long_score=1.0260 short_score=-2.4091 memory_center=2.1680 memory_strength=42 self_state=stressed attractor=explore felt_bearing_score=0.3229 felt_profile_label=mixed_unclear best_score=1.0260 reject_reason=-
MCM_DECISION | long_score=1.7065 short_score=-2.4966 memory_center=2.0173 memory_strength=26 self_state=stressed attractor=explore felt_bearing_score=0.3196 felt_profile_label=mixed_unclear best_score=1.7065 reject_reason=-
MCM_DECISION | long_score=-0.1135 short_score=-1.1073 memory_center=0.8898 memory_strength=34 self_state=stressed attractor=cooperate felt_bearing_score=0.3170 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=stressed_block
MCM_DECISION | long_score=-2.4870 short_score=1.3619 memory_center=0.0475 memory_strength=30 self_state=stressed attractor=cooperate felt_bearing_score=0.3188 felt_profile_label=mixed_unclear best_score=1.3619 reject_reason=-
MCM_DECISION | long_score=-0.5703 short_score=-0.2009 memory_center=0.2111 memory_strength=22 self_state=stressed attractor=cooperate felt_bearing_score=0.3251 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=0.0547 short_score=-0.6695 memory_center=0.0837 memory_strength=37 self_state=stable attractor=cooperate felt_bearing_score=0.3143 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-1.3496 short_score=-0.1033 memory_center=-0.9803 memory_strength=57 self_state=active attractor=analysis felt_bearing_score=0.3135 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=0.5197 short_score=-1.9111 memory_center=-2.1622 memory_strength=31 self_state=stressed attractor=defense felt_bearing_score=0.3343 felt_profile_label=mixed_unclear best_score=0.5197 reject_reason=-
MCM_DECISION | long_score=1.9688 short_score=-2.8799 memory_center=1.4704 memory_strength=30 self_state=stressed attractor=neutral felt_bearing_score=0.3190 felt_profile_label=mixed_unclear best_score=1.9688 reject_reason=-
MCM_DECISION | long_score=0.2317 short_score=-1.4189 memory_center=-2.1976 memory_strength=35 self_state=stressed attractor=defense felt_bearing_score=0.3340 felt_profile_label=mixed_unclear best_score=0.2317 reject_reason=-
MCM_DECISION | long_score=1.0264 short_score=-2.5573 memory_center=-0.7444 memory_strength=45 self_state=stressed attractor=defense felt_bearing_score=0.3008 felt_profile_label=mixed_unclear best_score=1.0264 reject_reason=-
MCM_DECISION | long_score=-3.0212 short_score=1.1300 memory_center=-0.5530 memory_strength=43 self_state=stressed attractor=defense felt_bearing_score=0.3113 felt_profile_label=mixed_unclear best_score=1.1300 reject_reason=-
MCM_DECISION | long_score=-2.4480 short_score=0.8143 memory_center=-2.1994 memory_strength=43 self_state=stressed attractor=defense felt_bearing_score=0.3094 felt_profile_label=mixed_unclear best_score=0.8143 reject_reason=-
MCM_DECISION | long_score=0.0161 short_score=-0.8649 memory_center=1.3841 memory_strength=28 self_state=stressed attractor=neutral felt_bearing_score=0.3228 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=stressed_block
MCM_DECISION | long_score=0.5021 short_score=-1.7814 memory_center=-2.1364 memory_strength=40 self_state=stressed attractor=defense felt_bearing_score=0.3453 felt_profile_label=mixed_unclear best_score=0.5021 reject_reason=-
MCM_DECISION | long_score=-0.6369 short_score=-0.3365 memory_center=1.1360 memory_strength=35 self_state=active attractor=cooperate felt_bearing_score=0.3304 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=0.6381 short_score=-1.1676 memory_center=-2.0924 memory_strength=32 self_state=active attractor=defense felt_bearing_score=0.3406 felt_profile_label=mixed_unclear best_score=0.6381 reject_reason=-
MCM_DECISION | long_score=-0.4398 short_score=-0.0061 memory_center=0.5132 memory_strength=27 self_state=active attractor=cooperate felt_bearing_score=0.3348 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=0.3267 short_score=-1.0524 memory_center=-1.3651 memory_strength=31 self_state=active attractor=analysis felt_bearing_score=0.0000 felt_profile_label=mixed_unclear best_score=0.3267 reject_reason=-
MCM_DECISION | long_score=0.4498 short_score=-1.6555 memory_center=-0.7555 memory_strength=32 self_state=stressed attractor=defense felt_bearing_score=0.3399 felt_profile_label=mixed_unclear best_score=0.4498 reject_reason=-
