MCM_DECISION | long_score=0.4538 short_score=-1.9637 memory_center=-0.7364 memory_strength=28 self_state=stressed attractor=defense felt_bearing_score=0.6075 felt_profile_label=mixed_unclear best_score=0.4538 reject_reason=-
MCM_DECISION | long_score=1.0821 short_score=-2.6020 memory_center=0.5428 memory_strength=23 self_state=stressed attractor=cooperate felt_bearing_score=0.6049 felt_profile_label=mixed_unclear best_score=1.0821 reject_reason=-
MCM_DECISION | long_score=-0.6163 short_score=-0.6118 memory_center=1.4030 memory_strength=37 self_state=stressed attractor=neutral felt_bearing_score=0.6017 felt_profile_label=recovering best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-1.9977 short_score=0.5442 memory_center=-0.6696 memory_strength=23 self_state=stressed attractor=defense felt_bearing_score=0.6193 felt_profile_label=mixed_unclear best_score=0.5442 reject_reason=-
MCM_DECISION | long_score=0.9652 short_score=-2.5179 memory_center=-1.3543 memory_strength=17 self_state=stressed attractor=defense felt_bearing_score=0.6004 felt_profile_label=mixed_unclear best_score=0.9652 reject_reason=-
MCM_DECISION | long_score=-0.5826 short_score=-1.2393 memory_center=-2.4176 memory_strength=43 self_state=stressed attractor=defense felt_bearing_score=0.6318 felt_profile_label=recovering best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-0.5340 short_score=-0.7408 memory_center=0.1309 memory_strength=25 self_state=stressed attractor=cooperate felt_bearing_score=0.6042 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=stressed_block
MCM_DECISION | long_score=0.5675 short_score=-1.7890 memory_center=-2.4233 memory_strength=22 self_state=stressed attractor=defense felt_bearing_score=0.6110 felt_profile_label=mixed_unclear best_score=0.5675 reject_reason=-
MCM_DECISION | long_score=0.9123 short_score=-2.2935 memory_center=1.1378 memory_strength=20 self_state=stressed attractor=cooperate felt_bearing_score=0.6020 felt_profile_label=mixed_unclear best_score=0.9123 reject_reason=-
MCM_DECISION | long_score=0.9855 short_score=-1.9708 memory_center=-0.2701 memory_strength=24 self_state=stressed attractor=cooperate felt_bearing_score=0.6141 felt_profile_label=mixed_unclear best_score=0.9855 reject_reason=-
MCM_DECISION | long_score=-0.3331 short_score=-1.1110 memory_center=1.1437 memory_strength=25 self_state=stressed attractor=cooperate felt_bearing_score=0.5879 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=0.2113 short_score=-1.4015 memory_center=-1.4358 memory_strength=25 self_state=stressed attractor=defense felt_bearing_score=0.6077 felt_profile_label=mixed_unclear best_score=0.2113 reject_reason=-
MCM_DECISION | long_score=-1.6792 short_score=0.3336 memory_center=-2.3363 memory_strength=24 self_state=stressed attractor=defense felt_bearing_score=0.6191 felt_profile_label=mixed_unclear best_score=0.3336 reject_reason=-
MCM_DECISION | long_score=0.8428 short_score=-2.2835 memory_center=1.4544 memory_strength=23 self_state=stressed attractor=neutral felt_bearing_score=0.5958 felt_profile_label=mixed_unclear best_score=0.8428 reject_reason=-
MCM_DECISION | long_score=0.6719 short_score=-1.8800 memory_center=0.8634 memory_strength=21 self_state=stressed attractor=cooperate felt_bearing_score=0.6163 felt_profile_label=mixed_unclear best_score=0.6719 reject_reason=-
MCM_DECISION | long_score=-0.9904 short_score=-0.5396 memory_center=-0.4910 memory_strength=26 self_state=stressed attractor=defense felt_bearing_score=0.6111 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-1.1301 short_score=-0.0775 memory_center=1.0177 memory_strength=36 self_state=stressed attractor=cooperate felt_bearing_score=0.6060 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
