section;elapsed_ms;extra
mcm_field.step.refresh_arrays;0.7054;agents=230|dims=3
apply_runtime_result.refresh_active_context_trace;0.1103;active=0.9122
step_mcm_brain.primary_field_step;70.7109;agents=230|dims=3
mcm_field.step.build_neighbor_state_map;2.6202;agents=230|neighbors=8
compute_runtime_result.total;88.3615;decision_tendency=observe|active_trade=False
mcm_field.step.field_perception_state;1.3880;agents=230
apply_runtime_result.total;3.7942;decision_tendency=hold|runtime_tick_seq=193
step_mcm_brain.snapshot_field_read;37.7477;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.4417;agents=230|dims=3
apply_runtime_result.refresh_active_context_trace;0.1063;active=0.9284
step_mcm_brain.cluster_detect_pre_memory;0.0572;clusters=1|agents=230
mcm_field.step.sync_neurons;1.3392;agents=230|dims=3
step_mcm_brain.snapshot_field_read;15.6255;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.4484;agents=230|dims=3
apply_runtime_result.refresh_active_context_trace;0.1065;active=0.9121
step_mcm_brain.primary_field_step;68.3689;agents=230|dims=3
mcm_field.step.sync_neurons;1.3683;agents=230|dims=3
step_mcm_brain.snapshot_field_read;15.5055;neurons=230|areals=1
mcm_field.step.build_neighbor_state_map;1.9400;agents=230|neighbors=8
step_mcm_brain.total;89.0490;mode=market|clusters=1|agents=230
mcm_field.step.field_perception_state;0.3081;agents=230
apply_runtime_result.total;3.4568;decision_tendency=observe|runtime_tick_seq=202
step_mcm_brain.cluster_detect_snapshot;3.7665;clusters=1|agents=230
mcm_field.step.activity_diffusion;11.6716;agents=230|neighbors=8
apply_runtime_result.refresh_experience_space;2.9873;decision_tendency=observe
mcm_field.step.total;80.0338;agents=230|dims=3
mcm_field.step.sync_neurons;1.4496;agents=230|dims=3
step_mcm_brain.snapshot_field_read;16.8289;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.4649;agents=230|dims=3
apply_runtime_result.refresh_active_context_trace;0.1095;active=0.9095
step_mcm_brain.cluster_detect_pre_memory;0.0601;clusters=1|agents=230
