MCM_DECISION | long_score=-1.0700 short_score=0.5108 memory_center=0.9747 memory_strength=26 self_state=stable attractor=cooperate best_score=0.5108 reject_reason=-
MCM_DECISION | long_score=-1.1968 short_score=0.6444 memory_center=0.9747 memory_strength=22 self_state=active attractor=cooperate best_score=0.6444 reject_reason=-
MCM_DECISION | long_score=-0.3270 short_score=-0.4958 memory_center=-0.7897 memory_strength=25 self_state=active attractor=analysis best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-1.8119 short_score=0.9453 memory_center=-0.7897 memory_strength=21 self_state=active attractor=analysis best_score=0.9453 reject_reason=-
MCM_DECISION | long_score=1.5073 short_score=-2.1173 memory_center=0.8307 memory_strength=26 self_state=active attractor=cooperate best_score=1.5073 reject_reason=-
MCM_DECISION | long_score=-1.3970 short_score=0.9163 memory_center=0.8307 memory_strength=22 self_state=stable attractor=cooperate best_score=0.9163 reject_reason=-
MCM_DECISION | long_score=0.0438 short_score=-0.3741 memory_center=0.8307 memory_strength=19 self_state=stable attractor=cooperate best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=1.3273 short_score=-1.7947 memory_center=0.8307 memory_strength=16 self_state=active attractor=cooperate best_score=1.3273 reject_reason=-
MCM_DECISION | long_score=1.5362 short_score=-2.3952 memory_center=2.1492 memory_strength=24 self_state=active attractor=explore best_score=1.5362 reject_reason=-
MCM_DECISION | long_score=-0.2009 short_score=-0.4334 memory_center=2.1492 memory_strength=20 self_state=active attractor=explore best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=0.4208 short_score=-1.3565 memory_center=2.1607 memory_strength=29 self_state=active attractor=explore best_score=0.4208 reject_reason=-
MCM_DECISION | long_score=-1.3140 short_score=0.6977 memory_center=2.1607 memory_strength=25 self_state=active attractor=explore best_score=0.6977 reject_reason=-
MCM_DECISION | long_score=0.8247 short_score=-1.4926 memory_center=2.1607 memory_strength=21 self_state=active attractor=explore best_score=0.8247 reject_reason=-
MCM_DECISION | long_score=1.0773 short_score=-2.1382 memory_center=2.1803 memory_strength=30 self_state=active attractor=explore best_score=1.0773 reject_reason=-
MCM_DECISION | long_score=-0.2241 short_score=-1.1708 memory_center=2.1491 memory_strength=44 self_state=active attractor=explore best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=0.0852 short_score=-1.4926 memory_center=2.0744 memory_strength=49 self_state=active attractor=explore best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=1.0532 short_score=-2.4554 memory_center=2.1372 memory_strength=54 self_state=active attractor=explore best_score=1.0532 reject_reason=-
MCM_DECISION | long_score=-1.6124 short_score=0.4225 memory_center=2.1372 memory_strength=39 self_state=active attractor=explore best_score=0.4225 reject_reason=-
MCM_DECISION | long_score=-1.3281 short_score=0.0626 memory_center=2.1372 memory_strength=33 self_state=active attractor=explore best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=1.0340 short_score=-1.8446 memory_center=2.1372 memory_strength=28 self_state=active attractor=explore best_score=1.0340 reject_reason=-
MCM_DECISION | long_score=1.2964 short_score=-2.6002 memory_center=2.1686 memory_strength=36 self_state=active attractor=explore best_score=1.2964 reject_reason=-
MCM_DECISION | long_score=1.4209 short_score=-2.8159 memory_center=2.1843 memory_strength=43 self_state=active attractor=explore best_score=1.4209 reject_reason=-
MCM_DECISION | long_score=-0.7006 short_score=-0.4902 memory_center=2.1843 memory_strength=37 self_state=active attractor=explore best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-1.1322 short_score=0.2965 memory_center=2.1843 memory_strength=31 self_state=active attractor=explore best_score=0.2965 reject_reason=-
MCM_DECISION | long_score=-1.1152 short_score=0.3928 memory_center=2.1843 memory_strength=26 self_state=active attractor=explore best_score=0.3928 reject_reason=-
MCM_DECISION | long_score=0.3070 short_score=-0.9534 memory_center=0.3150 memory_strength=29 self_state=active attractor=cooperate best_score=0.3070 reject_reason=-
MCM_DECISION | long_score=-1.3442 short_score=0.7077 memory_center=0.3150 memory_strength=25 self_state=active attractor=cooperate best_score=0.7077 reject_reason=-
