MCM_DECISION | long_score=0.9781 short_score=-2.5325 memory_center=-1.1913 memory_strength=17 self_state=stressed attractor=defense felt_bearing_score=0.5865 felt_profile_label=mixed_unclear best_score=0.9781 reject_reason=-
MCM_DECISION | long_score=-0.4913 short_score=-0.9515 memory_center=0.4545 memory_strength=36 self_state=stressed attractor=cooperate felt_bearing_score=0.6088 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-3.0331 short_score=1.4159 memory_center=-2.4480 memory_strength=33 self_state=stressed attractor=defense felt_bearing_score=0.5932 felt_profile_label=recovering best_score=1.4159 reject_reason=-
MCM_DECISION | long_score=0.2546 short_score=-1.9534 memory_center=-2.4224 memory_strength=46 self_state=stressed attractor=defense felt_bearing_score=0.5930 felt_profile_label=mixed_unclear best_score=0.2546 reject_reason=-
MCM_DECISION | long_score=-2.1855 short_score=1.1529 memory_center=-0.0625 memory_strength=21 self_state=stressed attractor=cooperate felt_bearing_score=0.5911 felt_profile_label=mixed_unclear best_score=1.1529 reject_reason=-
MCM_DECISION | long_score=-0.4110 short_score=-0.7745 memory_center=-0.2518 memory_strength=23 self_state=stressed attractor=cooperate felt_bearing_score=0.5992 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=stressed_block
MCM_DECISION | long_score=0.7860 short_score=-2.0764 memory_center=0.6454 memory_strength=15 self_state=stressed attractor=cooperate felt_bearing_score=0.5914 felt_profile_label=mixed_unclear best_score=0.7860 reject_reason=-
MCM_DECISION | long_score=-0.9199 short_score=-0.2546 memory_center=-0.1753 memory_strength=31 self_state=stressed attractor=cooperate felt_bearing_score=0.6026 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=1.2282 short_score=-2.6317 memory_center=1.4148 memory_strength=25 self_state=stressed attractor=neutral felt_bearing_score=0.3731 felt_profile_label=recovering best_score=1.2282 reject_reason=-
MCM_DECISION | long_score=-0.4203 short_score=-0.6601 memory_center=-0.1652 memory_strength=22 self_state=stressed attractor=cooperate felt_bearing_score=0.5850 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=stressed_block
MCM_DECISION | long_score=0.6505 short_score=-1.7161 memory_center=-2.3505 memory_strength=20 self_state=stressed attractor=defense felt_bearing_score=0.6059 felt_profile_label=mixed_unclear best_score=0.6505 reject_reason=-
MCM_DECISION | long_score=1.2104 short_score=-2.7195 memory_center=1.3486 memory_strength=25 self_state=stressed attractor=neutral felt_bearing_score=0.5762 felt_profile_label=mixed_unclear best_score=1.2104 reject_reason=-
MCM_DECISION | long_score=1.1715 short_score=-2.8891 memory_center=1.1643 memory_strength=31 self_state=stressed attractor=cooperate felt_bearing_score=0.5748 felt_profile_label=mixed_unclear best_score=1.1715 reject_reason=-
MCM_DECISION | long_score=-1.9138 short_score=0.2140 memory_center=-0.4416 memory_strength=26 self_state=stressed attractor=defense felt_bearing_score=0.5922 felt_profile_label=mixed_unclear best_score=0.2140 reject_reason=-
MCM_DECISION | long_score=0.0151 short_score=-1.1728 memory_center=0.3031 memory_strength=30 self_state=stressed attractor=cooperate felt_bearing_score=0.5938 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-3.1341 short_score=1.0428 memory_center=-2.3713 memory_strength=46 self_state=stressed attractor=defense felt_bearing_score=0.6074 felt_profile_label=recovering best_score=1.0428 reject_reason=-
MCM_DECISION | long_score=-2.2728 short_score=0.1216 memory_center=-2.4150 memory_strength=54 self_state=stressed attractor=defense felt_bearing_score=0.6022 felt_profile_label=recovering best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-0.7959 short_score=-0.9817 memory_center=-2.4575 memory_strength=35 self_state=stressed attractor=defense felt_bearing_score=0.6033 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=stressed_block
MCM_DECISION | long_score=1.4442 short_score=-2.4743 memory_center=0.0811 memory_strength=17 self_state=stressed attractor=cooperate felt_bearing_score=0.5851 felt_profile_label=recovering best_score=1.4442 reject_reason=-
MCM_DECISION | long_score=1.1982 short_score=-2.6727 memory_center=0.5085 memory_strength=25 self_state=stressed attractor=cooperate felt_bearing_score=0.5710 felt_profile_label=mixed_unclear best_score=1.1982 reject_reason=-
MCM_DECISION | long_score=0.1717 short_score=-1.1674 memory_center=0.6196 memory_strength=23 self_state=stressed attractor=cooperate felt_bearing_score=0.5960 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=0.4667 short_score=-1.4469 memory_center=0.2000 memory_strength=17 self_state=stressed attractor=cooperate felt_bearing_score=0.5902 felt_profile_label=mixed_unclear best_score=0.4667 reject_reason=-
MCM_DECISION | long_score=0.8825 short_score=-2.0028 memory_center=-2.3894 memory_strength=23 self_state=stressed attractor=defense felt_bearing_score=0.6000 felt_profile_label=mixed_unclear best_score=0.8825 reject_reason=-
MCM_DECISION | long_score=1.4199 short_score=-2.9360 memory_center=2.3208 memory_strength=29 self_state=stressed attractor=explore felt_bearing_score=0.3747 felt_profile_label=mixed_unclear best_score=1.4199 reject_reason=-
MCM_DECISION | long_score=0.8182 short_score=-2.3832 memory_center=2.3700 memory_strength=38 self_state=stressed attractor=explore felt_bearing_score=0.5968 felt_profile_label=recovering best_score=0.8182 reject_reason=-
MCM_DECISION | long_score=0.8700 short_score=-2.6191 memory_center=1.2740 memory_strength=43 self_state=stressed attractor=neutral felt_bearing_score=0.5841 felt_profile_label=mixed_unclear best_score=0.8700 reject_reason=-
MCM_DECISION | long_score=0.9593 short_score=-2.6345 memory_center=1.1962 memory_strength=34 self_state=stressed attractor=cooperate felt_bearing_score=0.5952 felt_profile_label=mixed_unclear best_score=0.9593 reject_reason=-
MCM_DECISION | long_score=-2.8991 short_score=1.2076 memory_center=0.8363 memory_strength=26 self_state=stressed attractor=cooperate felt_bearing_score=0.5745 felt_profile_label=mixed_unclear best_score=1.2076 reject_reason=-
MCM_DECISION | long_score=0.4714 short_score=-2.0278 memory_center=-1.0579 memory_strength=27 self_state=stressed attractor=defense felt_bearing_score=0.5834 felt_profile_label=mixed_unclear best_score=0.4714 reject_reason=-
MCM_DECISION | long_score=0.9283 short_score=-2.3223 memory_center=-1.0993 memory_strength=28 self_state=stressed attractor=defense felt_bearing_score=0.5830 felt_profile_label=mixed_unclear best_score=0.9283 reject_reason=-
MCM_DECISION | long_score=0.1521 short_score=-1.0811 memory_center=0.1417 memory_strength=15 self_state=stressed attractor=cooperate felt_bearing_score=0.5903 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=stressed_block
MCM_DECISION | long_score=0.4121 short_score=-1.6884 memory_center=-2.0018 memory_strength=40 self_state=stressed attractor=defense felt_bearing_score=0.5942 felt_profile_label=recovering best_score=0.4121 reject_reason=-
MCM_DECISION | long_score=-3.1373 short_score=1.2893 memory_center=-2.0333 memory_strength=23 self_state=stressed attractor=defense felt_bearing_score=0.5900 felt_profile_label=mixed_unclear best_score=1.2893 reject_reason=-
MCM_DECISION | long_score=0.4280 short_score=-1.6790 memory_center=-2.4251 memory_strength=19 self_state=stressed attractor=defense felt_bearing_score=0.5999 felt_profile_label=mixed_unclear best_score=0.4280 reject_reason=-
MCM_DECISION | long_score=-0.9135 short_score=-0.6554 memory_center=2.2597 memory_strength=32 self_state=stressed attractor=explore felt_bearing_score=0.5940 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=0.2269 short_score=-1.8746 memory_center=-1.3641 memory_strength=32 self_state=stressed attractor=defense felt_bearing_score=0.5829 felt_profile_label=mixed_unclear best_score=0.2269 reject_reason=-
MCM_DECISION | long_score=-1.5035 short_score=-0.2058 memory_center=-1.4501 memory_strength=31 self_state=stressed attractor=defense felt_bearing_score=0.5950 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
